NAME,P9_001N,P9_002N
Geographic Area Name," !!Total:"," !!Total:!!Hispanic or Latino"
"Huron city, California",6206,5937
"Hyampom CDP, California",241,14
"Hydesville CDP, California",1244,96
"Hypericum CDP, California",125,107
"Idlewild CDP, California",32,0
"Idyllwild-Pine Cove CDP, California",4163,715
"Igo CDP, California",103,6
"Imperial city, California",20263,16757
"Imperial Beach city, California",26137,13369
"Independence CDP, California",593,85
"Indian Falls CDP, California",79,4
"Indianola CDP, California",791,91
"Indian Wells city, California",4757,310
"Indio city, California",89137,61606
"Indio Hills CDP, California",1048,839
"Industry city, California",264,130
"Inglewood city, California",107762,55677
"Interlaken CDP, California",7368,5543
"Inverness CDP, California",1379,94
"Inyokern CDP, California",988,158
"Ione city, California",5141,874
"Iron Horse CDP, California",269,33
"Irvine city, California",307670,35855
"Irwindale city, California",1472,1336
"Isla Vista CDP, California",15500,4239
"Isleton city, California",794,347
"Ivanhoe CDP, California",4468,3954
"Jackson city, California",5019,818
"Jacumba CDP, California",540,193
"Jamestown CDP, California",3478,517
"Jamul CDP, California",6179,1409
"Janesville CDP, California",2461,243
"Jenner CDP, California",122,14
"Johannesburg CDP, California",113,7
"Johnson Park CDP, California",686,81
"Johnstonville CDP, California",973,134
"Johnsville CDP, California",22,2
"Jones Valley CDP, California",1160,83
"Joshua Tree CDP, California",6489,1296
"Jovista CDP, California",41,40
"Julian CDP, California",1768,325
"Junction City CDP, California",658,46
"June Lake CDP, California",611,102
"Jurupa Valley city, California",105053,74047
"Keddie CDP, California",51,9
"Keeler CDP, California",71,13
"Keene CDP, California",469,91
"Kelly Ridge CDP, California",3006,329
"Kelseyville CDP, California",3382,1547
"Kennedy CDP, California",3223,2457
"Kennedy Meadows CDP, California",58,3
"Kensington CDP, California",5428,391
"Kentfield CDP, California",6808,453
"Kenwood CDP, California",852,87
"Kep'el CDP, California",76,4
"Kerman city, California",16016,12522
"Kernville CDP, California",1549,156
"Keswick CDP, California",188,21
"Kettleman City CDP, California",1242,1206
"Keyes CDP, California",5672,3853
"King City city, California",13332,11936
"Kings Beach CDP, California",3563,1699
"Kingsburg city, California",12380,5974
"Kingvale CDP, California",128,2
"Kirkwood CDP, California",190,7
"Klamath CDP, California",1088,81
